date,store,sku,category,revenue,cost,quantity,customer_id,region,margin,margin_pct
2024-01-03,Store_A,SKU_101,Electronics,1890,970,7,C001,North,920,48.68
2024-01-05,Store_B,SKU_102,Apparel,1120,580,5,C002,South,540,48.21
2024-01-07,Store_C,SKU_103,Home Decor,1640,980,6,C003,East,660,40.24
2024-01-09,Store_D,SKU_104,Electronics,1750,1100,8,C004,West,650,37.14
2024-01-11,Store_E,SKU_105,Grocery,820,440,4,C005,South,380,46.34
2024-01-13,Store_A,SKU_106,Home Decor,1420,720,5,C006,North,700,49.30
2024-01-15,Store_B,SKU_107,Electronics,1980,1030,9,C007,East,950,47.98
2024-01-17,Store_C,SKU_108,Apparel,1360,720,6,C008,North,640,47.06
2024-01-19,Store_D,SKU_109,Grocery,950,480,5,C009,South,470,49.47
2024-01-21,Store_E,SKU_110,Electronics,2120,1220,8,C010,West,900,42.45
2024-01-23,Store_A,SKU_111,Home Decor,1550,780,6,C011,North,770,49.68
2024-01-25,Store_B,SKU_112,Electronics,2070,1080,9,C012,East,990,47.83
2024-01-27,Store_C,SKU_113,Apparel,980,540,4,C013,West,440,44.90
2024-01-29,Store_D,SKU_114,Grocery,1140,600,5,C014,South,540,47.37
2024-01-31,Store_E,SKU_115,Electronics,2200,1300,9,C015,North,900,40.91
2024-02-02,Store_A,SKU_116,Home Decor,1340,620,6,C016,East,720,53.73
2024-02-04,Store_B,SKU_117,Apparel,960,490,5,C017,West,470,48.96
2024-02-06,Store_C,SKU_118,Electronics,1780,910,7,C018,North,870,48.88
2024-02-08,Store_D,SKU_119,Grocery,890,420,4,C019,South,470,52.81
2024-02-10,Store_E,SKU_120,Apparel,1280,670,5,C020,East,610,47.66
2024-02-12,Store_A,SKU_121,Home Decor,1440,750,6,C021,West,690,47.92
2024-02-14,Store_B,SKU_122,Electronics,2100,1140,8,C022,North,960,45.71
2024-02-16,Store_C,SKU_123,Grocery,780,400,3,C023,South,380,48.72
2024-02-18,Store_D,SKU_124,Electronics,1940,970,7,C024,East,970,50.00
2024-02-20,Store_E,SKU_125,Apparel,1030,520,4,C025,West,510,49.51
2024-02-22,Store_A,SKU_126,Home Decor,1670,830,6,C026,North,840,50.30
2024-02-24,Store_B,SKU_127,Grocery,910,480,4,C027,East,430,47.25
2024-02-26,Store_C,SKU_128,Electronics,2080,1160,8,C028,South,920,44.23
2024-02-28,Store_D,SKU_129,Apparel,1320,640,5,C029,North,680,51.52
2024-03-01,Store_E,SKU_130,Grocery,840,420,3,C030,West,420,50.00


